sp,0.012472,0.281859
I,0.281859,0.491383
AGREE,0.491383,0.820635
THAT,0.820635,0.960317
THE,0.960317,1.169841
UBIQUITY,1.169841,2.047846
sp,2.047846,2.107710
OF,2.107710,2.407029
TODAY'S,2.407029,2.856009
TECHNOLOGY,2.856009,3.464626
IS,3.464626,3.594331
A,3.594331,3.654195
VERY,3.654195,4.003401
SERIOUS,4.003401,4.482313
PROBLEM,4.482313,5.001134
sp,5.001134,5.978912
I'M,5.978912,6.148526
ALWAYS,6.148526,6.417914
DISAPPOINTED,6.417914,7.256009
WHEN,7.256009,7.405669
I,7.405669,7.535374
SEE,7.535374,7.984354
FAMILIES,7.984354,8.573016
SITTING,8.573016,8.832426
AT,8.832426,8.942177
DINNER,8.942177,9.580726
sp,9.580726,9.830159
LOOKING,9.830159,10.059637
AT,10.059637,10.159410
THEIR,10.159410,10.279138
PHONES,10.279138,10.778005
RATHER,10.778005,10.997506
THAN,10.997506,11.137188
HAVING,11.137188,11.426531
CONVERSATIONS,11.426531,12.583900
sp,12.583900,12.643764
WITH,12.643764,12.823356
EACH,12.823356,13.042857
OTHER,13.042857,13.431973
sp,13.431973,14.379819
IN,14.379819,14.499546
MY,14.499546,14.659184
OWN,14.659184,14.798866
EXPERIENCE,14.798866,15.786621
sp,15.786621,15.976190
AT,15.976190,16.245578
sp,16.245578,16.275510
TIMES,16.275510,16.734467
WHEN,16.734467,17.013832
I,17.013832,17.323129
HAVE,17.323129,17.562585
sp,17.562585,17.662358
BEEN,17.662358,17.831973
OUT,17.831973,18.001587
OF,18.001587,18.061451
THE,18.061451,18.161224
COUNTRY,18.161224,18.809751
AND,18.809751,18.939456
HAVE,18.939456,19.119048
sp,19.119048,19.587982
NOT,19.587982,19.837415
HAD,19.837415,20.056916
ACCESS,20.056916,21.034694
TO,21.034694,21.334014
MY,21.334014,21.533560
I'VE,21.533560,21.733107
sp,21.733107,21.952608
NOTICED,21.952608,22.760771
A,22.760771,22.910431
SIGNIFICANT,22.910431,23.608844
DIFFERENCE,23.608844,24.207483
IN,24.207483,24.426984
HOW,24.426984,24.726304
I,24.726304,24.865986
sp,24.865986,24.895918
INTERACT,24.895918,25.314966
WITH,25.314966,25.474603
MY,25.474603,25.684127
ENVIRONMENT,25.684127,26.462358
sp,26.462358,26.592063
HOW,26.592063,26.721769
MUCH,26.721769,26.961224
MORE,26.961224,27.360317
AWARE,27.360317,27.739456
I,27.739456,27.769388
AM,27.769388,28.028798
OF,28.028798,28.148526
MY,28.148526,28.308163
SURROUNDINGS,28.308163,29.295918
sp,29.295918,29.595238
AND,29.595238,29.714966
HONESTLY,29.714966,30.213832
HOW,30.213832,30.343537
MUCH,30.343537,30.582993
MORE,30.582993,30.712698
RELAXED,30.712698,31.211565
I,31.211565,31.401134
AM,31.401134,31.570748
sp,31.570748,36.210204
