sp,79.551701,79.621542
FEEL,79.621542,79.791156
LIKE,79.791156,80.080499
HAVING,80.080499,81.307710
THOSE,81.307710,81.636961
KIDS,81.636961,82.145805
KNOW,82.145805,82.355329
THE,82.355329,82.485034
EXACT,82.485034,82.874150
SAME,82.874150,83.143537
THING,83.143537,83.343084
IS,83.343084,83.442857
KINDA,83.442857,83.672336
STUPID,83.672336,84.280952
sp,84.280952,84.949433
BECAUSE,84.949433,85.468254
THEY'RE,85.468254,85.637868
NOT,85.637868,85.897279
GONNA,85.897279,86.026984
NEED,86.026984,86.236508
IT,86.236508,86.426077
sp,86.426077,86.765306
HALF,86.765306,87.304082
OF,87.304082,87.403855
WHATEVER,87.403855,87.743084
THEY,87.743084,87.962585
KNOW,87.962585,88.431519
IF,88.431519,88.511338
sp,88.511338,88.710884
HALF,88.710884,89.169841
OF,89.169841,89.259637
IT,89.259637,89.399320
IS,89.399320,89.539002
DESIGNED,89.539002,89.888209
FOR,89.888209,90.007937
ALASKA,90.007937,90.446939
AND,90.446939,90.636508
HALF,90.636508,90.846032
OF,90.846032,90.945805
IT,90.945805,91.085488
IS,91.085488,91.295011
DESIGNED,91.295011,91.634240
FOR,91.634240,91.813832
FLORIDA,91.813832,92.302721
sp,92.302721,94.128571
SO,94.128571,94.298186
I,94.298186,94.368027
THINK,94.368027,94.597506
AT,94.597506,94.657370
sp,94.657370,94.717234
SOME,94.717234,95.126304
POINT,95.126304,95.695011
sp,95.695011,95.784807
IT,95.784807,96.014286
JUST,96.014286,96.383447
BECOMES,96.383447,97.191610
sp,97.191610,97.321315
FOR,97.321315,97.650567
EVERYONE,97.650567,99.177098
sp,99.177098,99.935374
AND,99.935374,100.184807
JUST,100.184807,100.434240
A,100.434240,100.543991
WASTE,100.543991,100.833333
OF,100.833333,100.933107
KIDS',100.933107,101.252381
TIME,101.252381,101.601587
TO,101.601587,102.280045
HAVE,102.280045,102.888662
sp,102.888662,103.996145
TO,103.996145,104.355329
sp,104.355329,104.834240
DO,104.834240,104.973923
THAT,104.973923,105.382993
sp,105.382993,105.782086
